%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
34.0, -11271.873046875, -24684.439453125, -172117.046875, -57461.484375, 5672.984375, -19649.060546875, -52746.31640625, -47114.30078125, -187500.015625, 109040.8828125, -187500.015625, -185684.234375, 109180.8046875, 109138.3984375, -187500.015625, 109100.9375, 0.02007031386892777, 0.9351602022070438, 0.308023443329148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419162781E9, 2021-03-25 11:35:41.916
36.0, -11049.4052734375, -24837.392578125, -172020.09375, -57998.75, 5699.87353515625, -20351.6640625, -52886.66015625, -48275.609375, -187500.015625, 109008.875, -187500.015625, -185629.078125, 109148.7734375, 109106.3515625, -187500.015625, 109068.8671875, 0.02007031386892777, 0.9351602022070438, 0.308023443329148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419162834E9, 2021-03-25 11:35:41.916
38.0, -11330.568359375, -24535.30859375, -172140.40625, -56928.99609375, 5600.27392578125, -19043.462890625, -52608.29296875, -46042.69140625, -187500.015625, 108995.1953125, -187500.015625, -185647.25, 109135.046875, 109092.578125, -187500.015625, 109055.09375, 0.018035157314443495, 0.9345801087329164, 0.3040117276250385, 192.0, 0.0, 64.0, 14.5, 24.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.6166613419162872E9, 2021-03-25 11:35:41.916
40.0, -11174.28515625, -24813.318359375, -172007.671875, -57946.91796875, 5673.9228515625, -20324.150390625, -52901.81640625, -48229.07421875, -187500.015625, 108975.453125, -187500.015625, -185650.859375, 109115.375, 109072.890625, -187500.015625, 109035.4296875, 0.018035157314443495, 0.9345801087329164, 0.3040117276250385, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419162917E9, 2021-03-25 11:35:41.916
42.0, -11047.7744140625, -24642.775390625, -172014.65625, -57409.6953125, 5609.08056640625, -19674.072265625, -52727.33984375, -47121.03125, -187500.015625, 108948.8125, -187500.015625, -185604.40625, 109088.6875, 109046.0859375, -187500.015625, 109008.5625, 0.018035157314443495, 0.9345801087329164, 0.3040117276250385, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419162953E9, 2021-03-25 11:35:41.916
44.0, -11626.3486328125, -24604.330078125, -172133.015625, -57031.63671875, 5573.87646484375, -19280.30078125, -52686.546875, -46338.62890625, -187500.015625, 108938.171875, -187500.015625, -185655.53125, 109078.09375, 109035.5625, -187500.015625, 108998.0546875, 0.018035157314443495, 0.9345801087329164, 0.3040117276250385, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163003E9, 2021-03-25 11:35:41.916
46.0, -11812.0244140625, -24682.29296875, -172132.046875, -57173.8828125, 5576.7822265625, -19528.048828125, -52771.23828125, -46655.578125, -187500.015625, 108913.6328125, -187500.015625, -185729.46875, 109053.9140625, 109011.3984375, -187500.015625, 108973.828125, 0.018035157314443495, 0.9345801087329164, 0.3040117276250385, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661341916304E9, 2021-03-25 11:35:41.916
48.0, -11268.810546875, -24447.287109375, -172022.734375, -56874.5703125, 5530.35791015625, -19053.921875, -52636.9921875, -46095.0625, -187500.015625, 108897.3359375, -187500.015625, -185657.859375, 109037.390625, 108994.921875, -187500.015625, 108957.3046875, 0.014017579011124326, 0.933290074870456, 0.3010058677464258, 192.0, 0.0, 40.0, 14.5, 16.0, 4.5, 40.0, 0.0, 0.0, 0.0, 1.6166613419163084E9, 2021-03-25 11:35:41.916
50.0, -11880.5107421875, -24654.666015625, -172100.171875, -57163.69140625, 5552.0615234375, -19547.6953125, -52805.03515625, -46709.625, -187500.015625, 108876.4140625, -187500.015625, -185670.546875, 109016.453125, 108974.0078125, -187500.015625, 108936.3203125, 0.014017579011124326, 0.933290074870456, 0.3010058677464258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163125E9, 2021-03-25 11:35:41.916
52.0, -11378.6689453125, -24483.451171875, -171987.8125, -56963.53125, 5509.458984375, -19246.125, -52704.78515625, -46344.75390625, -187500.015625, 108850.3515625, -187500.015625, -185685.953125, 108990.40625, 108947.921875, -187500.015625, 108910.3203125, 0.014017579011124326, 0.933290074870456, 0.3010058677464258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163165E9, 2021-03-25 11:35:41.916
54.0, -11521.6083984375, -24498.96484375, -171994.65625, -56991.44921875, 5502.73095703125, -19305.669921875, -52737.21875, -46439.27734375, -187500.015625, 108832.921875, -187500.015625, -185608.875, 108972.7109375, 108930.328125, -187500.015625, 108892.625, 0.014017579011124326, 0.933290074870456, 0.3010058677464258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163213E9, 2021-03-25 11:35:41.916
